2026-05-19 15:30:18 | INFO     | retrieval.hybrid_search | 语义检索: 舰艇消防系统的设计要求和验收标准是什么？...
2026-05-19 15:30:34 | INFO     | embeddings.embedder | 正在加载嵌入模型: BAAI/bge-base-zh-v1.5 (镜像: https://hf-mirror.com)
2026-05-19 15:30:45 | INFO     | embeddings.embedder | 嵌入模型加载完成，维度: 768
2026-05-19 15:30:45 | INFO     | embeddings.embedder | 批量嵌入完成: 1个文本 → 1个向量
2026-05-19 15:30:45 | INFO     | retrieval.hybrid_search | 关键词检索: 舰艇消防系统的设计要求和验收标准是什么？...
2026-05-19 15:30:45 | INFO     | retrieval.hybrid_search | RRF融合: 语义0条 + 关键词0条
2026-05-19 15:30:45 | INFO     | retrieval.reranker | RRF融合: 0条语义 + 0条关键词 → 0条融合结果
2026-05-19 15:30:45 | INFO     | retrieval.hybrid_search | 混合检索完成: 返回0条结果
2026-05-19 15:34:58 | INFO     | retrieval.hybrid_search | 语义检索: 弹药库安全管理有哪些强制性规定？...
2026-05-19 15:34:58 | INFO     | embeddings.embedder | 批量嵌入完成: 1个文本 → 1个向量
2026-05-19 15:34:58 | INFO     | retrieval.hybrid_search | 关键词检索: 弹药库安全管理有哪些强制性规定？...
2026-05-19 15:34:58 | INFO     | retrieval.hybrid_search | RRF融合: 语义0条 + 关键词0条
2026-05-19 15:34:58 | INFO     | retrieval.reranker | RRF融合: 0条语义 + 0条关键词 → 0条融合结果
2026-05-19 15:34:58 | INFO     | retrieval.hybrid_search | 混合检索完成: 返回0条结果
2026-05-19 18:09:17 | ERROR    | document.parser | PaddleOCR 初始化失败: Unknown argument: show_log
2026-05-19 18:11:40 | INFO     | document.parser | PaddleOCR 初始化完成
2026-05-19 18:14:19 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779185659_GJB.docx
2026-05-19 18:14:19 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 18:14:24 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779185664_HJB.docx
2026-05-19 18:14:24 | INFO     | document.cleaner | 文本清洗完成，长度: 2839 字符
2026-05-19 18:16:09 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779185769_HJB.docx
2026-05-19 18:16:09 | INFO     | document.cleaner | 文本清洗完成，长度: 2839 字符
2026-05-19 18:18:57 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779185937_HJB.docx
2026-05-19 18:18:57 | INFO     | document.cleaner | 文本清洗完成，长度: 2825 字符
2026-05-19 18:19:53 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779185993_GJB.docx
2026-05-19 18:19:53 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 18:20:10 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779186010_HJB.docx
2026-05-19 18:20:10 | INFO     | document.cleaner | 文本清洗完成，长度: 2841 字符
